epoch,train_loss,val_loss,train_psnr,val_psnr,train_ssim,val_ssim
1,0.02415350879728794,0.01759071245789528,31.701957763671874,32.81677978515625,0.7552675213813782,0.8049889516830444
2,0.024045956149697303,0.017563232220709324,31.667377975463868,32.833925094604496,0.756967255115509,0.8052545475959778
3,0.023969604209065437,0.017514882050454615,31.701371002197266,32.857978439331056,0.7582004227638245,0.8057044076919556
4,0.023974863931536673,0.01749660138040781,31.766667572021483,32.86725540161133,0.7573569622039795,0.8059088563919068
5,0.02422731466591358,0.017494616881012916,31.662952407836915,32.865040893554685,0.7554997520446778,0.8058916449546814
6,0.023669250324368476,0.017460917755961418,31.794733169555663,32.88843307495117,0.7596367969512939,0.806208438873291
7,0.023614377811551093,0.017440228499472143,31.833003204345705,32.897227096557614,0.7607342553138733,0.8064169454574585
8,0.023584999427199365,0.017409793771803378,31.795466384887696,32.91376121520996,0.7610995526313782,0.8067055463790893
9,0.02382480089366436,0.017393816001713275,31.731589462280272,32.92542900085449,0.7588102116584777,0.8068474316596985
10,0.023658967122435568,0.01737162586301565,31.77948796081543,32.93324935913086,0.760077579498291,0.8070657444000244
11,0.0238105236440897,0.017363026179373263,31.760645111083985,32.93707908630371,0.7598238463401794,0.8071124935150147
12,0.023754264742136003,0.017326121665537358,31.75567041015625,32.95889991760254,0.7598878469467163,0.8074722981452942
13,0.023615469560027122,0.017318549677729608,31.787817855834962,32.96126861572266,0.7608465323448181,0.8075369906425476
14,0.023465612307190895,0.017305491790175438,31.905683471679687,32.96978401184082,0.7631874628067017,0.8076746201515198
15,0.02331995615363121,0.017280774414539336,31.83364846801758,32.98187789916992,0.7639292497634887,0.8078939819335937
16,0.02365104318410158,0.017268870063126086,31.83019354248047,32.988209381103516,0.7605596327781677,0.8079775238037109
17,0.02337849363684654,0.017264548912644385,31.87295883178711,32.98999862670898,0.7629305691719055,0.8080046725273132
18,0.023231035083532334,0.017242943607270717,31.904553817749022,33.00078689575195,0.7637596621513366,0.8082203531265258
19,0.023261924237012864,0.017227979190647603,31.984832458496093,33.00898086547851,0.7648686046600341,0.8083431816101074
20,0.02341160662472248,0.01721424262970686,31.886456146240235,33.0167293548584,0.7633135013580322,0.8084462332725525
21,0.02321617978811264,0.017198812440037726,31.95327474975586,33.023011703491214,0.7633174228668212,0.8086135458946228
22,0.023147303506731987,0.017183809764683245,31.936796951293946,33.03037353515625,0.7644943118095398,0.8087263989448548
