epoch,train_loss_g,val_loss_g,train_loss_d,val_loss_d,train_d_real_prob,val_d_real_prob,train_d_fake_prob,val_d_fake_prob,train_psnr,val_psnr,train_ssim,val_ssim,train_lpips,val_lpips
1,1.3334621572494507,1.0154415130615235,0.7675708427429199,0.6963888537883759,0.46399265503883363,0.45217485934495927,0.4638058171272278,0.45043563812971116,30.27175747680664,29.640881996154786,0.7449234042167664,0.762783220410347,0.47751273536682126,0.5154066649079323
2,1.2434872589111328,0.9906413900852203,0.6906836457252502,0.697636507153511,0.4543812747001648,0.4502094602584839,0.45413090753555296,0.44947642147541045,28.613190399169923,28.294493103027342,0.7338881754875183,0.757319706082344,0.46868867564201355,0.5090771532058715
3,1.2013166618347169,0.9785555684566498,0.6892620739936829,0.6973505729436874,0.4531940701007843,0.4497696343064308,0.45281274390220644,0.4485565176606178,28.038955688476562,27.928336925506592,0.7347204394340515,0.7544937092065811,0.458239319562912,0.5010797485709191
4,1.1850771412849426,0.9673449838161469,0.688654372215271,0.6989388608932495,0.452571102142334,0.4473540997505188,0.4519424567222595,0.4474067011475563,27.47073715209961,27.364088802337648,0.7305897665023804,0.7513907301425934,0.45186984419822696,0.4979243153333664
5,1.1686848068237305,0.9583125734329223,0.6881751818656922,0.6981724792718887,0.45221927070617673,0.45002129405736924,0.4511133506298065,0.44984866827726366,27.148488815307616,27.25932596206665,0.726975435256958,0.749963710308075,0.4487224955558777,0.49139138251543046
6,1.1659750156402588,0.9529983818531036,0.6873520545959473,0.698550568819046,0.4525719575881958,0.45157216578722,0.45014434003829956,0.45195159256458284,26.93204931640625,26.96233818054199,0.72484752368927,0.7490239524841309,0.44486012125015256,0.48772241711616515
7,1.1456291875839233,0.9487477946281433,0.6849786710739135,0.7008139872550965,0.45425151205062864,0.45170393109321594,0.4474644773006439,0.4543900740146637,26.747175552368166,26.564853420257567,0.7245513892173767,0.7466739881038665,0.44217872071266173,0.49466103583574295
8,1.1468717794418335,0.9416355490684509,0.6780474467277526,0.6920019227266312,0.46027211117744443,0.47592766255140306,0.4399719603061676,0.4701567703485489,26.632132415771483,26.50911491394043,0.721818157672882,0.7456185120344162,0.44142070126533506,0.4873279830813408
9,1.1345848670005798,0.9380167376995087,0.6646178116798401,0.6960967582464218,0.4745036129951477,0.4473541232943535,0.42992535519599917,0.44366044610738753,26.559037368774415,26.54037525177002,0.7214457464218139,0.7479124116897583,0.4368587422370911,0.486903640627861
10,1.1346397490501403,0.9343365949392318,0.6537003421783447,0.6991184717416763,0.4839623692035675,0.4618084934353828,0.4149716682434082,0.463337904214859,26.424289337158203,26.42935966491699,0.7199088730812073,0.7443974035978317,0.43624430656433105,0.48086040526628493
11,1.1248843483924866,0.9300806212425232,0.6428206839561462,0.6978706097602845,0.49497182631492614,0.44899281442165373,0.405693603515625,0.4453110948204994,26.590628509521483,26.454414310455324,0.7220758323669434,0.74338891685009,0.43412117767333985,0.4779842248558998
12,1.1261124711036683,0.9280318057537079,0.638318353176117,0.705233347415924,0.501476731300354,0.44730738788843155,0.40545456302165983,0.45251322209835054,26.656023391723632,26.400472011566162,0.7222559561729431,0.742344571352005,0.43061171650886537,0.47629002153873445
13,1.1175573482513428,0.923627735376358,0.6345664572715759,0.7114691704511642,0.5041865611076355,0.4189090269804001,0.39493880784511565,0.42282044172286987,26.579326736450195,26.326011486053467,0.7227488341331482,0.7418318593502045,0.43011667799949643,0.4762701353430748
14,1.1246325578689575,0.9243239438533783,0.6414182739257812,0.7100194811820983,0.4925518274307251,0.4455172446370125,0.4000206389427185,0.4512639218568802,26.71930714416504,26.5985986328125,0.7259449548721314,0.7470785355567933,0.4286357700824738,0.4712007084488869
15,1.1136286449432373,0.921858081817627,0.6269196209907532,0.7118663591146469,0.5146168327331543,0.4774116680026054,0.3877336865663528,0.49105593085289,26.915502365112303,26.653969612121582,0.7271355957984924,0.7471625524759292,0.4277823691368103,0.472651084959507
16,1.1090128512382507,0.919243587255478,0.6358140435218811,0.6977779883146286,0.4999053869247437,0.44709322541952135,0.40243406856060027,0.4440260285139084,26.855126892089842,26.6071409034729,0.7283891797065735,0.7476000314950944,0.42700576424598696,0.47358326137065887
17,1.1036396856307984,0.9143160128593445,0.6269159450531006,0.7127336519956589,0.5146508977413178,0.423131015598774,0.38451882123947145,0.4250254410505295,26.92396807861328,26.69466312408447,0.7290788569450378,0.7479657107591628,0.4249685215950012,0.46901227831840514
18,1.0979467778205871,0.9157744991779327,0.6266604056358337,0.6954254537820816,0.515158097743988,0.48293189764022826,0.3855514019727707,0.4827782842516899,27.159456802368165,26.920340137481688,0.7313538470268249,0.7508719825744629,0.4239062304496765,0.4736848795413971
19,1.1031749300956726,0.916553041934967,0.619990621805191,0.7079627388715743,0.5207009246349334,0.4482170048356056,0.38727968430519105,0.4546521544456482,27.04604316711426,26.955037631988525,0.7292447333335876,0.7500649356842041,0.4243259201049805,0.4700095161795616
20,1.1009641194343567,0.9149745577573776,0.6235875840187073,0.7093147915601731,0.5077914204597473,0.4179636707901955,0.38045200979709626,0.4160960614681244,27.092011138916014,27.07900381088257,0.7284401564598083,0.752082427740097,0.42368076181411746,0.4676602122187614
21,1.105575291156769,0.9075231009721756,0.6268747601509094,0.6994764924049377,0.5145602285861969,0.46746453195810317,0.38375840544700623,0.47017947942018506,27.18377655029297,27.094107418060304,0.7322619309425354,0.7511438065767289,0.4231939525604248,0.46767777651548387
22,1.0982935562133789,0.9085500854253769,0.6236028785705566,0.7008140975236893,0.5119936878681183,0.4481922224164009,0.37876401948928834,0.4471968162059784,27.357452117919923,27.3581245803833,0.7321327342987061,0.7536565500497818,0.4229306609630585,0.4675248026847839
23,1.0927167024612428,0.9050639951229096,0.6381035056114197,0.7034129512310028,0.5033873283863067,0.45676606237888334,0.3971442520618439,0.4606593805551529,27.35444758605957,27.16501943588257,0.7320148944854736,0.7515603423118591,0.4221796720027924,0.46643757045269013
24,1.095571418762207,0.9047012770175934,0.6248063521385193,0.6977185034751892,0.5139790694713593,0.46542066693305967,0.3854873093366623,0.46419747948646545,27.49798878479004,27.27694755554199,0.7340993847846985,0.7528898346424103,0.42109311556816104,0.4678254741430283
25,1.0899478678703307,0.9042494183778763,0.6269338932037354,0.7037035673856735,0.5121839542388916,0.4685546350479126,0.38730253219604494,0.47322589457035064,27.433779495239257,27.280196208953857,0.7327042331695557,0.7524928045272827,0.4209215922355652,0.4648588633537292
26,1.0994957389831543,0.9023061817884446,0.6197969694137573,0.7189712363481522,0.5151019971370697,0.5780809956789017,0.37963966155052187,0.5846189969778061,27.53220135498047,27.131839199066164,0.7319199619293213,0.7509152495861053,0.4205845470428467,0.46602152317762374
27,1.0802571654319764,0.9016141176223755,0.6269498620033264,0.6999632751941681,0.5132342247962952,0.47494553565979003,0.39259510695934297,0.47754560053348544,27.573794357299803,27.38884265899658,0.7334530119895935,0.7537368232011795,0.4204549913406372,0.46653626799583436
28,1.0894806480407715,0.9004108333587646,0.6288493752479554,0.7119921207427978,0.5151825735569,0.4415107524394989,0.3877703084945679,0.44900849640369417,27.549676147460936,27.367689208984373,0.7324611458778382,0.7528177291154862,0.41887173914909365,0.46411783337593077
29,1.08705237865448,0.8996796745061875,0.6228439025878906,0.6993533647060395,0.5083610157966614,0.5160535448789596,0.3731540596485138,0.5195533153414726,27.73549951171875,27.67567657470703,0.7341013011932374,0.7548460447788239,0.41962248063087465,0.46541897624731066
30,1.0806383123397827,0.8995742243528366,0.6376132192611694,0.6996176713705062,0.5053652811050415,0.49412921875715254,0.39638261115550993,0.49731351792812345,27.87131024169922,27.66429317474365,0.7352760047912598,0.7548932081460953,0.4201296153068542,0.46486327797174454
31,1.084382354736328,0.8974403190612793,0.6339530310630799,0.7010717678070069,0.5090898103713989,0.4564812985062599,0.39141849529743195,0.4594665864109993,27.9898271484375,27.99613883972168,0.7372960419654846,0.7573010349273681,0.4165798592567444,0.46321792781353
32,1.0850349192619324,0.8984140074253082,0.6281951513290406,0.7290632522106171,0.5078310034275055,0.39723952949047087,0.38355720198154447,0.40291057020425797,28.084708877563475,27.753969860076904,0.7362639880180359,0.7552851182222367,0.41825098061561583,0.4617338126897812
33,1.0872159280776978,0.8966162121295929,0.6316619935035706,0.7132012331485749,0.5058865072727203,0.4510339245200157,0.38753629112243654,0.4599012476205826,27.909225189208986,27.447133598327635,0.7347430448532104,0.7513738524913788,0.41778914618492125,0.46399471938610076
34,1.0738881373405456,0.894702849984169,0.6252658405303955,0.7063498681783676,0.5137169480323791,0.4502289819717407,0.3842526140213013,0.4554009556770325,27.929365814208985,27.742089138031005,0.7361417598724366,0.7539455473423005,0.4177179493904114,0.4633259981870651
35,1.074592869758606,0.894747849702835,0.6198072199821472,0.707167713046074,0.5282914459705352,0.4570213660597801,0.3869089012145996,0.464904505610466,28.02247821044922,27.7194543838501,0.7360893182754517,0.7546565806865693,0.4180794830322266,0.46271177381277084
36,1.0758206310272216,0.8955913800001144,0.6352964539527893,0.7076384550333024,0.49851204133033755,0.44716123938560487,0.38890084850788115,0.4517327445745468,28.013853958129882,27.71564348220825,0.7344313025474548,0.754006740450859,0.4175331244468689,0.4627767166495323
37,1.0802479958534241,0.8921920198202133,0.6223447556495667,0.7032066792249679,0.5147077913284301,0.5394709166884423,0.37786567270755766,0.5429055911302566,27.980810333251952,27.890606384277344,0.7345204257965088,0.7555983424186706,0.4181555063724518,0.46102185547351837
38,1.0716627707481385,0.8908453387022018,0.63154824924469,0.7272458040714264,0.5100951528549195,0.38643613666296006,0.38922927486896514,0.3872404497861862,28.033737854003906,27.802783126831056,0.736672682762146,0.7539094179868698,0.41672438669204714,0.4599204057455063
39,1.0761171011924744,0.8911969751119614,0.6336352725028992,0.7101827847957611,0.5161380679607391,0.511405898630619,0.39130299115180966,0.5236982026696205,28.10489453125,27.686079692840575,0.7339848270416259,0.7537638449668884,0.41680135202407836,0.4618996247649193
40,1.073896028995514,0.8904103183746338,0.646920847415924,0.6948316657543182,0.48195221614837647,0.47761699587106704,0.41170813965797426,0.47614424258470534,28.10964744567871,27.784130992889406,0.7355513277053833,0.7520101892948151,0.41521125769615175,0.46035289019346237
41,1.0706925535202025,0.8906046479940415,0.6321628546714783,0.7076113986968994,0.5067975497245789,0.5595660710334778,0.38981561636924744,0.5641124367713928,28.16087774658203,28.107859230041505,0.7367495951652527,0.7552720922231674,0.41534302973747256,0.45918229818344114
42,1.0710896964073182,0.8908474987745285,0.6261872057914734,0.7004339730739594,0.516861435174942,0.49062161207199095,0.38537279999256135,0.4948387378454208,28.219829498291016,28.07547367095947,0.7363394007682801,0.7558922505378723,0.4161156873703003,0.4595183518528938
