epoch,train_loss_g,val_loss_g,train_loss_d,val_loss_d,train_d_real_prob,val_d_real_prob,train_d_fake_prob,val_d_fake_prob,train_psnr,val_psnr,train_ssim,val_ssim,train_lpips,val_lpips,train_loss_adv,val_loss_adv,train_loss_lpips_core,val_loss_lpips_core,noise_std
1,1.0345085921257797,0.8463383495916086,0.6872995525949628,0.6708173040479078,0.4528778985566095,0.48139993402725134,0.4472059010633229,0.4608381559373105,30.430521266458765,30.48199192692541,0.7336202450948545,0.7308575391335658,0.33494461070144665,0.3883279461510764,0.8160658404799029,0.7748262441252274,0.0,0.0,0.030000000634461083
2,1.0189186143775988,0.8443525787409035,0.4664289721662769,0.3621525992907633,0.6240318969811157,0.686430163640843,0.28319644200991856,0.23112029751696103,30.7432270010395,30.25968389933293,0.7320146355790887,0.7293486493945194,0.34037974272349275,0.39005706583535477,1.5103148145140333,1.4691781714296543,0.0,0.0,0.02957627051254981
3,1.0195928350225225,0.8374873265994542,0.24031110249371967,0.44706878754642965,0.8347295706914848,0.6560178517283202,0.06977708357865829,0.32613989539114613,30.87626689189189,31.046287522741054,0.7302498186287248,0.7315880363098848,0.3446069454370236,0.39097203797756214,3.6516548098579347,1.1595213215158808,0.0,0.0,0.029152543034226385
4,1.0143248623473233,0.8409617038261825,0.20852709774828915,0.26676244140032784,0.8612853200255544,0.7137281650337326,0.03875950517872515,0.09396762049798173,31.075667013167013,30.580320933141298,0.7287907273258836,0.723494752383073,0.3473240884739908,0.39898267090139855,4.430628532679314,2.446662750151607,0.0,0.0,0.02872881291231511
5,1.0087149574454262,0.8440973340850515,0.1919965948896613,0.2568169866206792,0.8767902799885222,0.7105761008092025,0.024339666650762842,0.07426524812919288,30.974732545045047,31.03501174954518,0.7291061813766891,0.7210134456488781,0.3481243130901334,0.39843646362378715,5.3118026003768195,2.698147433103396,0.0,0.0,0.028305085433991684
6,1.0129949473211193,0.8390016203001819,0.18965547578828829,0.25198288380268347,0.8786001859732329,0.7084119992230139,0.021905625436509226,0.06397702117050107,31.032094594594593,30.969915479078228,0.7274695255652287,0.7265178617959749,0.34839607392097627,0.398816517586416,5.74159398280492,2.8618975397020923,0.0,0.0,0.02788135531208041
7,1.0049486272630803,0.8374109308671922,0.18946255732144404,0.247120465706015,0.878694932161729,0.7139495053820497,0.021614863818004076,0.060121081683619806,31.05925155925156,31.71947487113402,0.7262481456817395,0.7208100198036689,0.3490421456424874,0.3987572960885385,6.02871215566528,2.9338501790858094,0.0,0.0,0.027457627833756985
8,1.0077686798878205,0.8356779617855519,0.18713431778006973,0.24039090482157746,0.8803822602650727,0.7238115133698454,0.0196833435396973,0.05546832619615581,31.238072808385308,31.155565399484537,0.7228951457467082,0.7162686192389327,0.3510718289465848,0.40191472726131366,6.340291764119889,3.030149664569436,0.0,0.0,0.02703389771184571
9,1.006780612493503,0.8340939347710734,0.18600988355016676,0.2446704353253866,0.8816252964202183,0.7018501092044421,0.0186373260561493,0.04550707593262015,31.14272565835066,30.9751980366889,0.7208435523865211,0.7224090742732338,0.3528476220736963,0.3966372404913963,6.572020638426888,3.1897172528805338,0.0,0.0,0.026610170233522284
10,1.0021335657321986,0.8353963635631443,0.1861885266426282,0.24050242630476804,0.8817500737666754,0.7129904132239235,0.0187457184451203,0.04694718545389725,31.10744759182259,30.572870868708307,0.7190689224380631,0.7127479011901152,0.3545074145660083,0.4081856546581261,6.764561135654886,3.1870747896452394,0.0,0.0,0.02618644011161101
11,1.0046672649211712,0.8325729786518344,0.19374337199654582,0.25228846673173133,0.875774380901334,0.7179913726121893,0.023854430813964506,0.06917836204885063,31.225972366597368,31.235943185263796,0.7163805839342948,0.7121448782879776,0.35496016599532226,0.40669208848165556,6.255273302148302,2.909120762109612,0.0,0.0,0.025762712633287586
12,0.9984248446162509,0.8280494925902062,0.18685982876656704,0.24479598490088691,0.8808550606646309,0.7081036032728169,0.019270409830559977,0.04833918676150792,31.223446703915453,31.02645068981201,0.71690870934035,0.718589287660135,0.35547657502003205,0.40491159414796846,6.9531507168225914,3.2531191962932082,0.0,0.0,0.02533898251137631
