epoch,train_loss,val_loss,train_psnr,val_psnr,train_ssim,val_ssim,train_lpips,val_lpips
1,0.22931331177180786,0.22118409609635575,27.17954132016632,24.273406704821102,0.7639478232739951,0.7700273780984688,0.534208703520227,0.5597030426821179
2,0.21887951465588185,0.2058236496314054,27.688826446638945,27.556066176470587,0.773205710217429,0.7872087190626895,0.5324079760725269,0.5565967640781345
3,0.2060737213325104,0.19881210188348053,30.128427104989605,29.53312139933293,0.7873242458203396,0.7943475745243329,0.5160840960401507,0.5472720801432687
4,0.2140520694597843,0.19905185641629397,29.209621881496883,29.06568137886598,0.7781653348059598,0.7940109003088993,0.5250912439633143,0.5530598711577093
5,0.2139363437581211,0.2016593419544042,29.177657224532226,28.399901455427532,0.7792467948717948,0.7913774683520315,0.530363784758316,0.5573772664067238
6,0.21121962369520964,0.21699645144784718,29.78564893018018,25.159746437234688,0.7813547283762128,0.775374191034339,0.5300176227910602,0.6009635485758414
7,0.2125228279097908,0.22051394932771756,29.529874826749825,25.32266240903578,0.7802596485457813,0.7721218944246513,0.5317114646948631,0.5727066771054427
8,0.21515218268147956,0.21183718559306777,29.43625747141372,26.983361127956336,0.7773968755414068,0.780440738231504,0.5328045988446379,0.5751618523536992
9,0.2035382033550979,0.2003954071359536,30.816622812716563,28.94533618859915,0.7892579986085846,0.7927443005230442,0.5203815124469421,0.554970282652365
10,0.20314029051211668,0.19795248333507048,30.84781325796951,29.610512052759248,0.7894957946227478,0.7953095537304806,0.5206387652676715,0.5526651228609195
11,0.21373431020037464,0.21154263266799955,29.61121036902287,26.912925447240752,0.7786984513058732,0.7805893841911765,0.538427954321509,0.5685209016354609
12,0.21703695507406445,0.21283928736402744,28.88049527893278,26.906126819284413,0.7755730114128552,0.7796782614463311,0.5402528758852001,0.564267243523537
13,0.21448591394880456,0.23202494291047604,29.72425610706861,24.596521566100666,0.7778700143202096,0.7587719622924879,0.5295092079760049,0.579721315475288
14,0.2221645849575537,0.20615177374308294,28.77571952962578,27.772129889326866,0.7705572158697158,0.7860467932743329,0.5500365618773821,0.5703023583184885
15,0.20891443623987568,0.2026622395142416,29.98935594248094,28.329214675560944,0.7835893003129332,0.7901534340177759,0.52630213409022,0.5544234461463386
16,0.22870560379715654,0.20980363039626287,26.861351134788634,26.473293473317163,0.7630192260319213,0.7830294579574743,0.5573327797448892,0.5646773153829026
17,0.23364130920283263,0.2961067861322203,27.363048445079695,17.322606740827773,0.7586190269295738,0.6938611291407671,0.5635560816224878,0.6601254548211037
18,0.2535085697927495,0.221120766107063,24.760630522349274,24.47796960278957,0.7375855422730423,0.770763279236469,0.5858352248733109,0.5797005139241586
19,0.2174914406970071,0.21443682428270922,27.774720634095633,26.080896566100666,0.774679690207034,0.7778150050693602,0.551826080512604,0.5692768640558672
20,0.21992597361860058,0.21734822714523955,28.596023908523907,26.033119030473014,0.7726600736854643,0.7748693277649333,0.5423204153672904,0.5673848852524257
21,0.21173271237358152,0.21630011767311627,29.365487482674983,26.17237246058217,0.7811545770530145,0.7762420820857338,0.5336741489085239,0.5719584875066328
22,0.2094082373013037,0.213022725953703,29.330997163028414,26.240993594602788,0.7829043361269924,0.7795088879624015,0.5382625714656964,0.583818961953741
23,0.21238540363906575,0.20794953484474493,29.48553361053361,27.290791767738025,0.7800497688193001,0.7849370564309809,0.5371904168290887,0.5616631262081185
24,0.2067215272476503,0.19949646181160932,29.911821075883577,28.852315797453002,0.7858511117788461,0.7935073695231959,0.534548605471457,0.5609805984450803
