"run","epoch","train_psnr","val_psnr"
"srresnet_l1","1","33.3004212144837","33.5223004472408"
"srresnet_l1","2","33.5932356635482","33.6132149219224"
"srresnet_l1","3","33.6750124523562","33.5959790971801"
"srresnet_l1","4","33.7372823544699","33.6196463765919"
"srresnet_l1","5","33.7490308818434","33.5795084141904"
"srresnet_l1","6","33.8166255197505","33.6105049461795"
"srresnet_l1","7","33.7686243936244","33.5739368556701"
"srresnet_l1","8","33.8850051975052","33.5935320648878"
"srresnet_l1","9","33.798956709113","33.607254870376"
"srresnet_l1","10","33.8156997141372","33.4748000682232"
"srresnet_l1","11","33.8636818910256","33.5629879851425"
"srresnet_l1","12","33.8684381496882","33.630358361128"
"srresnet_l1","13","33.843625476438","33.610156723772"
"srresnet_l1","14","33.8503470417533","33.6549163318678"
"srresnet_l1","15","33.8846099705475","33.6313130116737"
"srresnet_l1","16","33.831146049896","33.622991206792"
"srresnet_l1","17","33.8681105985793","33.6595285021225"
"srresnet_l1","18","33.8103127165627","33.6610350970285"
"srresnet_l1","19","33.7990297990298","33.6008992192238"
"srresnet_l1","20","33.850994022869","33.5800153502122"
"srresnet_l1","21","33.7575255544006","33.6173509513341"
"srresnet_l1","22","33.8207023128898","33.6690252615221"
"srresnet_l1","23","33.841419243763","33.6870285968769"
"srresnet_l1","24","33.8510265072765","33.6771670330503"
"srresnet_l1","25","33.9036945599446","33.6675873635537"
"srresnet_lpips","1","30.9647056912682","30.602846422074"
"srresnet_lpips","2","30.8762289934165","30.8817394064585"
"srresnet_lpips","3","31.2783588877339","31.5055668208005"
"srresnet_lpips","4","31.2725658350658","31.3746778350515"
"srresnet_lpips","5","31.4485825970201","31.4426285817162"
"srresnet_lpips","6","31.4237807519058","31.6043056397817"
"srresnet_lpips","7","31.4216584372834","31.5913195497271"
"srresnet_lpips","8","31.4816300675676","31.5237122877502"
"srresnet_lpips","9","31.3711397695773","31.5447430260764"
"srresnet_lpips","10","31.4615195123008","31.6450784566404"
"srresnet_lpips","11","31.4013610966736","31.2867410172832"
"srresnet_lpips","12","31.4131258662509","31.6514649029715"
"srresnet_lpips","13","31.4141003984754","31.4140767131595"
"srresnet_lpips","14","31.4354995019058","31.7554294269254"
"srresnet_lpips","15","31.4305375086625","31.6671467556095"
"srresnet_lpips","16","31.3903434684685","31.5465007201334"
"srresnet_lpips","17","31.3857956514207","31.68219849151"
"srresnet_lpips","18","31.4157516891892","31.590263038205"
"srresnet_lpips","19","31.3197548510049","31.4413280776228"
"srresnet_lpips","20","31.338834026334","31.6981882959369"
"srresnet_ssim","1","27.1795413201663","24.2734067048211"
"srresnet_ssim","2","27.6888264466389","27.5560661764706"
"srresnet_ssim","3","30.1284271049896","29.5331213993329"
"srresnet_ssim","4","29.2096218814969","29.065681378866"
"srresnet_ssim","5","29.1776572245322","28.3999014554275"
"srresnet_ssim","6","29.7856489301802","25.1597464372347"
"srresnet_ssim","7","29.5298748267498","25.3226624090358"
"srresnet_ssim","8","29.4362574714137","26.9833611279563"
"srresnet_ssim","9","30.8166228127166","28.9453361885991"
"srresnet_ssim","10","30.8478132579695","29.6105120527592"
"srresnet_ssim","11","29.6112103690229","26.9129254472408"
"srresnet_ssim","12","28.8804952789328","26.9061268192844"
"srresnet_ssim","13","29.7242561070686","24.5965215661007"
"srresnet_ssim","14","28.7757195296258","27.7721298893269"
"srresnet_ssim","15","29.9893559424809","28.3292146755609"
"srresnet_ssim","16","26.8613511347886","26.4732934733172"
"srresnet_ssim","17","27.3630484450797","17.3226067408278"
"srresnet_ssim","18","24.7606305223493","24.4779696027896"
"srresnet_ssim","19","27.7747206340956","26.0808965661007"
"srresnet_ssim","20","28.5960239085239","26.033119030473"
"srresnet_ssim","21","29.365487482675","26.1723724605822"
"srresnet_ssim","22","29.3309971630284","26.2409935946028"
"srresnet_ssim","23","29.4855336105336","27.290791767738"
"srresnet_ssim","24","29.9118210758836","28.852315797453"
"srresnet_ssim","25","30.2305255977131","27.8435628600667"
"srresnet_ssim","26","29.3671550155925","28.4038669269254"
"srresnet_ssim","27","30.2438685680873","29.7134555980898"
"srresnet_ssim","28","29.8730752988565","29.3393723468769"
"srresnet_ssim","29","30.8202312889813","29.731612909339"
"srresnet_ssim","30","30.511152979903","24.2727931701031"
"srresnet_ssim","31","29.4372320036383","28.2882665630685"
"srresnet_ssim","32","29.6234948891199","26.1679805942996"
"srresnet_ssim","33","29.3432383705821","21.5573643117041"
"srresnet_ssim","34","28.5338622877685","27.0348269784718"
"srresnet_ssim","35","29.8498489475052","26.9771499772589"
"srresnet_ssim","36","29.2670407787595","26.7475387545482"
"srresnet_ssim","37","30.3463108541234","28.8652308217101"
"srresnet_ssim","38","29.1105552668053","24.4046344375379"
"srresnet_ssim","39","30.1262668918919","29.3905089258642"
"srresnet_ssim","40","30.1765689968815","27.3315882731959"
"srresnet_ssim","41","29.1247861443174","27.3286390426016"
"srresnet_ssim","42","30.2514455561331","28.4770007390843"
"srresnet_ssim","43","30.2512831340956","25.4399067616737"
"srresnet_ssim","44","29.7498429920305","27.9529662863857"
"srresnet_ssim","45","29.0913353257103","25.8546657064888"
"srresnet_ssim","46","29.4431495798683","26.7033571482717"
"srresnet_ssim","47","30.1425090956341","28.5684245186477"
"srresnet_ssim","48","30.174330279799","28.1823358853851"
"srresnet_ssim","49","29.1744764596327","27.7897163053366"
"srresnet_ssim","50","30.9457997661123","28.9197619769557"
"srresnet_ssim","51","30.8263545997921","24.7141591494845"
"srresnet_ssim","52","29.27293128465","26.4938978168587"
"srresnet_ssim","53","30.2871134355509","29.5670387355973"
"srresnet_ssim","54","30.8099229036729","28.9414133565797"
"srresnet_ssim","55","31.459616467429","29.4391439887811"
"srresnet_ssim","56","31.2759117290367","27.5105153691631"
"srresnet_ssim","57","30.6155714007276","29.4856660286537"
"srresnet_ssim","58","30.365043529106","24.824889137356"
"srresnet_ssim","59","30.3169666060291","28.9085643761371"
"srresnet_ssim","60","30.6445393711019","24.0794018154942"
"srresnet_ssim","61","29.4590588184338","28.1087827850212"
"srresnet_ssim","62","30.2180678274428","28.4138777289266"
"srresnet_ssim","63","31.165892454955","29.6638256140085"
"srresnet_ssim","64","31.2466459849272","28.896902478775"
"srresnet_ssim","65","31.4718197765073","27.4449405889933"
"srresnet_ssim","66","30.5028802841303","28.8488430488175"
"srresnet_ssim","67","30.9419503638254","29.3234157064888"
"srresnet_ssim","68","29.9336695469508","26.9233460620073"
"srresnet_ssim","69","29.8545050459113","24.7896784035779"
